Results for n = 2:
  Run         n    W  Result               Time (s)
   21  10.000000  642  (5, 1937, [1, 4, 3, 1, 1])                0.000446
   22  10.000000  684  (8, 4779, [2, 1, 1, 1, 1, 2, 1, 1])       0.000036
   23  10.000000  996  (7, 4118, [1, 1, 1, 4, 1, 1, 1])          0.000055
   24  10.000000  569  (6, 1844, [1, 1, 1, 5, 1, 1])             0.000144
   25  10.000000  894  (5, 2695, [4, 2, 1, 1, 2])                0.000166

--------------------------------------------------------------------------------

Results for n = 12:
  Run          n    W  Result                                           Time (s)
-----  ---------  ---  ---------------------------------------------  ----------
    1  12.000000  932  (6, 3314, [1, 1, 1, 1, 2, 6])                    0.000285
    2  12.000000  936  (7, 4716, [1, 3, 1, 1, 1, 2, 3])                 0.000234
    3  12.000000  715  (9, 4211, [2, 1, 1, 2, 1, 2, 1, 1, 1])           0.000125
    4  12.000000  854  (9, 5132, [1, 2, 1, 1, 1, 1, 2, 2, 1])           0.000105
    5  12.000000  746  (9, 4803, [1, 1, 2, 2, 1, 1, 2, 1, 1])           0.000098
    6  12.000000  529  (10, 4176, [2, 1, 1, 1, 1, 1, 1, 1, 1, 2])       0.000049
    7  12.000000  524  (11, 4769, [1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1])    0.000020
    8  12.000000  875  (9, 5769, [1, 1, 2, 1, 3, 1, 1, 1, 1])           0.000106
    9  12.000000  997  (10, 4643, [1, 1, 1, 1, 2, 1, 1, 2, 1, 1])       0.000024
   10  12.000000  570  (10, 4790, [1, 1, 1, 2, 1, 2, 1, 1, 1, 1])       0.000074
   11  12.000000  945  (7, 3434, [2, 3, 1, 2, 1, 1, 2])                 0.000396
   12  12.000000  839  (9, 4687, [1, 1, 3, 1, 1, 1, 1, 2, 1])           0.000082
   13  12.000000  781  (8, 4181, [2, 1, 1, 1, 1, 2, 1, 3])              0.000089
   14  12.000000  955  (7, 4825, [3, 2, 2, 1, 1, 1, 2])                 0.000254
   15  12.000000  579  (9, 3080, [1, 2, 1, 1, 2, 1, 1, 1, 2])           0.000044
   16  12.000000  617  (8, 5052, [1, 2, 3, 1, 1, 2, 1, 1])              0.000112
   17  12.000000  965  (8, 5189, [2, 2, 2, 2, 1, 1, 1, 1])              0.000134
   18  12.000000  817  (9, 6216, [1, 1, 1, 2, 1, 1, 2, 1, 2])           0.000033
   19  12.000000  605  (9, 4494, [1, 1, 1, 1, 1, 4, 1, 1, 1])           0.000049
   20  12.000000  692  (7, 4701, [1, 2, 2, 3, 1, 1, 2])                 0.000129
   21  12.000000  730  (11, 4811, [1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1])    0.000031
   22  12.000000  624  (7, 2902, [1, 2, 1, 1, 1, 4, 2])                 0.000126
   23  12.000000  856  (8, 4747, [1, 1, 2, 2, 1, 2, 1, 2])              0.000100
   24  12.000000  806  (11, 5224, [1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1])    0.000020
   25  12.000000  703  (9, 3467, [2, 1, 2, 1, 2, 1, 1, 1, 1])           0.000067

--------------------------------------------------------------------------------

Results for n = 14:
  Run          n    W  Result                                                    Time (s)
-----  ---------  ---  ------------------------------------------------------  ----------
    1  14.000000  809  (9, 4298, [1, 2, 2, 1, 2, 1, 3, 1, 1])                    0.000565
    2  14.000000  815  (11, 5962, [1, 1, 2, 1, 1, 1, 2, 1, 1, 1, 2])             0.000068
    3  14.000000  541  (8, 4143, [1, 1, 3, 2, 2, 1, 2, 2])                       0.000603
    4  14.000000  971  (11, 5271, [1, 1, 1, 2, 1, 1, 1, 1, 2, 1, 2])             0.000035
    5  14.000000  689  (8, 4711, [2, 3, 2, 2, 1, 1, 2, 1])                       0.000651
    6  14.000000  517  (12, 5741, [1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 1])          0.000058
    7  14.000000  941  (8, 4434, [2, 1, 1, 2, 3, 1, 1, 3])                       0.000581
    8  14.000000  534  (8, 4692, [2, 2, 2, 2, 1, 2, 2, 1])                       0.001053
    9  14.000000  665  (8, 4233, [3, 1, 2, 1, 4, 1, 1, 1])                       0.001589
   10  14.000000  878  (8, 4638, [2, 3, 1, 1, 1, 4, 1, 1])                       0.001258
   11  14.000000  919  (10, 5046, [2, 1, 2, 1, 2, 1, 1, 1, 1, 2])                0.000117
   12  14.000000  694  (10, 5526, [3, 1, 2, 1, 2, 1, 1, 1, 1, 1])                0.000221
   13  14.000000  576  (10, 3820, [2, 1, 1, 1, 1, 3, 1, 1, 2, 1])                0.000132
   14  14.000000  756  (9, 6415, [1, 1, 1, 4, 1, 1, 2, 2, 1])                    0.000150
   15  14.000000  643  (9, 4899, [1, 1, 2, 1, 1, 1, 2, 2, 3])                    0.000190
   16  14.000000  551  (10, 6226, [2, 1, 1, 1, 1, 2, 2, 2, 1, 1])                0.000095
   17  14.000000  954  (7, 4580, [3, 1, 2, 1, 2, 3, 2])                          0.000413
   18  14.000000  749  (10, 4605, [1, 1, 3, 1, 1, 1, 2, 1, 2, 1])                0.000046
   19  14.000000  635  (9, 5273, [2, 1, 1, 1, 1, 3, 1, 3, 1])                    0.000113
   20  14.000000  901  (8, 3846, [3, 2, 3, 1, 1, 1, 2, 1])                       0.000494
   21  14.000000  994  (8, 4390, [1, 2, 1, 1, 2, 2, 3, 2])                       0.000333
   22  14.000000  792  (9, 5195, [1, 1, 2, 3, 1, 1, 1, 2, 2])                    0.000169
   23  14.000000  501  (11, 5561, [1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 1])             0.000095
   24  14.000000  531  (12, 6822, [1, 1, 1, 1, 2, 1, 1, 1, 2, 1, 1, 1])          0.000052
   25  14.000000  831  (14, 4643, [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1])    0.000025

--------------------------------------------------------------------------------

Results for n = 16:
  Run          n    W  Result                                                    Time (s)
-----  ---------  ---  ------------------------------------------------------  ----------
    1  16.000000  792  (13, 5670, [1, 1, 1, 2, 1, 2, 1, 1, 1, 2, 1, 1, 1])       0.000104
    2  16.000000  949  (13, 7393, [1, 1, 1, 1, 2, 1, 3, 1, 1, 1, 1, 1, 1])       0.000070
    3  16.000000  959  (9, 5950, [2, 1, 1, 2, 1, 3, 4, 1, 1])                    0.000904
    4  16.000000  771  (12, 6483, [2, 1, 2, 1, 1, 1, 2, 1, 1, 1, 1, 2])          0.000107
    5  16.000000  685  (10, 4155, [1, 2, 1, 3, 1, 3, 2, 1, 1, 1])                0.001267
    6  16.000000  999  (10, 5663, [1, 1, 4, 1, 1, 1, 3, 2, 1, 1])                0.000550
    7  16.000000  847  (10, 5640, [2, 1, 3, 1, 1, 1, 3, 2, 1, 1])                0.000529
    8  16.000000  846  (12, 4949, [2, 1, 1, 2, 1, 1, 1, 2, 2, 1, 1, 1])          0.000139
    9  16.000000  549  (8, 4586, [1, 2, 2, 5, 1, 2, 1, 2])                       0.003443
   10  16.000000  760  (9, 4715, [4, 1, 3, 1, 1, 1, 1, 1, 3])                    0.001127
   11  16.000000  961  (13, 5957, [1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 2, 2])       0.000049
   12  16.000000  636  (13, 8988, [1, 1, 1, 1, 1, 2, 2, 1, 2, 1, 1, 1, 1])       0.000101
   13  16.000000  689  (12, 5817, [2, 1, 1, 2, 1, 1, 1, 1, 1, 2, 1, 2])          0.000128
   14  16.000000  655  (10, 5635, [2, 1, 1, 1, 1, 2, 1, 2, 2, 3])                0.000673
   15  16.000000  861  (8, 5106, [2, 1, 1, 1, 4, 1, 2, 4])                       0.000672
   16  16.000000  853  (10, 6481, [1, 2, 3, 1, 2, 2, 1, 1, 2, 1])                0.000659
   17  16.000000  851  (11, 6580, [1, 1, 1, 1, 2, 1, 1, 3, 1, 1, 3])             0.000188
   18  16.000000  805  (9, 5603, [1, 2, 2, 1, 1, 3, 2, 3, 1])                    0.000953
   19  16.000000  960  (11, 6906, [2, 2, 2, 1, 3, 1, 1, 1, 1, 1, 1])             0.000517
   20  16.000000  529  (14, 9268, [1, 1, 1, 1, 1, 1, 2, 1, 2, 1, 1, 1, 1, 1])    0.000061
   21  16.000000  563  (10, 5476, [2, 2, 1, 2, 2, 1, 1, 1, 2, 2])                0.000485
   22  16.000000  899  (10, 5198, [1, 1, 2, 1, 1, 1, 2, 2, 4, 1])                0.000225
   23  16.000000  623  (11, 4101, [1, 2, 1, 4, 1, 1, 1, 1, 1, 2, 1])             0.000337
   24  16.000000  699  (9, 4979, [1, 2, 1, 2, 1, 2, 4, 2, 1])                    0.001355
   25  16.000000  657  (14, 9238, [1, 1, 1, 1, 2, 1, 1, 2, 1, 1, 1, 1, 1, 1])    0.000063

--------------------------------------------------------------------------------

Results for n = 18:
  Run          n     W  Result                                                       Time (s)
-----  ---------  ----  ---------------------------------------------------------  ----------
    1  18.000000   693  (12, 7633, [2, 2, 1, 1, 1, 2, 1, 2, 2, 2, 1, 1])             0.001367
    2  18.000000   914  (12, 6838, [2, 2, 1, 3, 2, 1, 2, 1, 1, 1, 1, 1])             0.000775
    3  18.000000   794  (11, 5994, [2, 1, 1, 1, 1, 2, 2, 4, 1, 2, 1])                0.001817
    4  18.000000   774  (14, 7656, [1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 2, 2, 1, 2])       0.000063
    5  18.000000   618  (13, 5559, [1, 1, 1, 1, 3, 3, 1, 1, 1, 1, 2, 1, 1])          0.000345
    6  18.000000   764  (13, 7824, [1, 2, 1, 1, 1, 3, 1, 3, 1, 1, 1, 1, 1])          0.000586
    7  18.000000   723  (11, 6370, [1, 1, 2, 2, 1, 1, 3, 3, 1, 2, 1])                0.001967
    8  18.000000   971  (9, 4849, [1, 4, 1, 1, 3, 2, 1, 3, 2])                       0.004437
    9  18.000000  1000  (15, 5987, [1, 2, 1, 1, 1, 1, 1, 1, 2, 1, 1, 2, 1, 1, 1])    0.000081
   10  18.000000   728  (11, 7238, [1, 1, 1, 1, 1, 1, 1, 5, 1, 4, 1])                0.001763
   11  18.000000   589  (12, 7253, [1, 2, 1, 1, 2, 2, 1, 1, 1, 2, 3, 1])             0.000429
   12  18.000000   813  (11, 6870, [2, 1, 1, 1, 1, 4, 1, 3, 2, 1, 1])                0.001987
   13  18.000000   543  (13, 6725, [1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 3, 2, 2])          0.000187
   14  18.000000   856  (11, 5848, [1, 4, 3, 1, 1, 1, 1, 3, 1, 1, 1])                0.001191
   15  18.000000   512  (13, 6704, [1, 2, 1, 1, 1, 2, 1, 1, 2, 1, 1, 2, 2])          0.000266
   16  18.000000   630  (12, 5613, [1, 2, 1, 2, 2, 2, 1, 1, 1, 2, 2, 1])             0.001072
   17  18.000000   500  (9, 4458, [1, 2, 1, 2, 2, 1, 2, 3, 4])                       0.004106
   18  18.000000   574  (12, 7538, [1, 1, 1, 2, 1, 2, 2, 1, 1, 1, 4, 1])             0.000174
   19  18.000000   975  (12, 7307, [1, 2, 2, 1, 1, 2, 1, 2, 1, 2, 2, 1])             0.000294
